ymin,ymax,xmin,xmax,group
2454.78537,2497.85178,0,1,original
2497.85178,2540.91819,0,1,original
2540.91819,2583.9846,0,1,original
2583.9846,2627.05101,0,1,original
2627.05101,2670.11742,0,1,original
2670.11742,2713.18383,0,1,original
2713.18383,2756.25024,0,1,original
2756.25024,2799.31665,0,1,original
2799.31665,2842.38306,0,1,original
2842.38306,2885.44947,0,1,original
2885.44947,2928.51588,0,1,original
2928.51588,2971.58229,0,1,original
2971.58229,3014.6487,0,1,original
3014.6487,3057.71511,0,1,original
3057.71511,3100.78152,0,1,original
3100.78152,3143.84793,0,1,original
3143.84793,3186.91434,0,1,original
3186.91434,3229.98075,0,1,original
3229.98075,3273.04716,0,1,original
3273.04716,3316.11357,0,1,original
3316.11357,3359.17998,0,1,original
3359.17998,3402.24639,0,1,original
3402.24639,3445.3128,0,1,original
3445.3128,3488.37921,0,1,original
3488.37921,3531.44562,0,1,original
3531.44562,3574.51203,0,1,original
3574.51203,3617.57844,0,1,original
3617.57844,3660.64485,0,1,original
3660.64485,3703.71126,0,1,original
3703.71126,3746.77767,0,1,original
3746.77767,3789.84408,0,1,original
3789.84408,3832.91049,0,1,original
3832.91049,3875.9769,0,1,original
3875.9769,3919.04331,0,1,original
3919.04331,3962.10972,0,1,original
3962.10972,4005.17613,0,1,original
4005.17613,4048.24254,0,1,original
4048.24254,4091.30895,0,1,original
4091.30895,4134.37536,0,1,original
4134.37536,4177.44177,0,1,original
4177.44177,4220.50818,0,1,original
4220.50818,4263.57459,0,1,original
4263.57459,4306.641,0,1,original
4306.641,4349.70741,0,1,original
4349.70741,4392.77382,0,1,original
4392.77382,4435.84023,0,1,original
4435.84023,4478.90664,0,1,original
4478.90664,4521.97305,0,1,original
4521.97305,4565.03946,0,1,original
4565.03946,4608.10587,0,1,original
4608.10587,4651.17228,0,1,original
4651.17228,4694.23869,0,1,original
4694.23869,4737.3051,0,1,original
4737.3051,4780.37151,0,1,original
4780.37151,4823.43792,0,1,original
4823.43792,4866.50433,0,1,original
4866.50433,4909.57074,0,1,original
4909.57074,4952.63715,0,1,original
4952.63715,4995.70356,0,1,original
4995.70356,5038.76997,0,1,original
5038.76997,5081.83638,0,1,original
5081.83638,5124.90279,0,1,original
5124.90279,5167.9692,0,1,original
5167.9692,5211.03561,0,1,original
5211.03561,5254.10202,0,1,original
5254.10202,5297.16843,0,1,original
5297.16843,5340.23484,0,1,original
5340.23484,5383.30125,0,1,original
5383.30125,5426.36766,0,1,original
5426.36766,5469.43407,0,1,original
5469.43407,5512.50048,0,1,original
5512.50048,5555.56689,0,1,original
5555.56689,5598.6333,0,1,original
5598.6333,5641.69971,0,1,original
5641.69971,5684.76612,0,1,original
5684.76612,5727.83253,0,1,original
5727.83253,5770.89894,0,1,original
5770.89894,5813.96535,0,1,original
5813.96535,5857.03176,0,1,original
5857.03176,5900.09817,0,1,original
5900.09817,5943.16458,0,1,original
5943.16458,5986.23099,0,1,original
