SurveyIDR12,SiteID,Mean20m,Mean40m,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,MeanMiner20m,MeanMiner40m,Threshold20m,Threshold40m,NumberOFRepeats
BS4_Winter_2019,BS4,39.5,94.5,19,26,1,7,13,3.5,6.5,1,0,2
BS4_Winter_2020,BS4,34.5,59,20,25,1,6,11,3,5.5,1,0,2
BS5_Autumn_2021,BS5,31,36.5,15,15,0,0,0,0,0,0,0,2
BS5_SpringE_2020,BS5,36,55,19,21,1,8,13,4,6.5,1,0,2
BS5_SpringL_2019,BS5,37,61,20,26,1,3,3,1.5,1.5,0,0,2
BS5_SpringL_2020,BS5,35.5,57.5,17,20,1,6,17,3,8.5,1,1,2
BS5_SpringL_2021,BS5,34,38,21,23,0,0,0,0,0,0,0,2
BS5_Summer_2019,BS5,21,41.5,13,19,1,5,6,2.5,3,1,0,2
BS5_Summer_2020,BS5,25.5,27,16,18,1,3,3,1.5,1.5,0,0,2
BS5_Summer_2021,BS5,21.5,39,14,22,0,0,0,0,0,0,0,2
BS5_Winter_2019,BS5,54.5,119,24,27,1,4,11,2,5.5,0,0,2
BS5_Winter_2020,BS5,31.5,47.5,17,20,1,3,7,1.5,3.5,0,0,2
BS6_Autumn_2021,BS6,83.5,104.5,27,28,1,5,5,2.5,2.5,1,0,2
BS6_SpringE_2020,BS6,59.5,85.5,26,28,0,0,0,0,0,0,0,2
BS6_SpringL_2019,BS6,66.5,91.5,28,33,1,2,2,1,1,0,0,2
BS6_SpringL_2020,BS6,46.5,63.5,26,27,0,0,0,0,0,0,0,2
BS6_SpringL_2021,BS6,72.5,114.5,23,32,0,0,0,0,0,0,0,2
BS6_Summer_2019,BS6,33.5,52,18,23,1,3,7,1.5,3.5,0,0,2
BS6_Summer_2020,BS6,68,76,33,35,0,0,0,0,0,0,0,2
BS6_Summer_2021,BS6,47.5,79.5,22,27,1,1,3,0.5,1.5,0,0,2
BS6_Winter_2019,BS6,60,145,23,24,1,4,6,2,3,0,0,2
BS6_Winter_2020,BS6,52.5,76,24,26,0,0,0,0,0,0,0,2
BS7_Autumn_2021,BS7,57.5,62,21,23,1,7,7,3.5,3.5,1,0,2
BS7_SpringE_2020,BS7,38,60.5,21,26,1,8,11,4,5.5,1,0,2
BS7_SpringL_2019,BS7,35.5,51,24,27,1,2,4,1,2,0,0,2
BS7_SpringL_2020,BS7,33,50,21,24,1,14,18,7,9,1,1,2
BS7_SpringL_2021,BS7,45,78,24,31,0,0,0,0,0,0,0,2
BS7_Summer_2019,BS7,28.5,57,16,20,1,9,12,4.5,6,1,0,2
BS7_Summer_2020,BS7,39.5,47.5,23,25,1,4,4,2,2,0,0,2
BS7_Summer_2021,BS7,35,46,18,21,0,0,0,0,0,0,0,2
BS7_Winter_2019,BS7,33.5,78.5,18,22,1,4,8,2,4,0,0,2
BS7_Winter_2020,BS7,35,54,19,23,1,8,11,4,5.5,1,0,2
BS8_Autumn_2021,BS8,37,51.5,14,15,1,12,12,6,6,1,0,2
