SurveyIDR12,SiteID,Total20,Total40,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,DetectedMiner20,DetectedMiner40,Threshold20m,Threshold40m
BS5_Summer_2021,BS5,19,32,7,10,0,0,0,0,0,0,0
BS5_Winter_2019,BS5,67,128,15,17,1,4,9,1,1,1,1
BS5_Winter_2020,BS5,30,33,12,13,1,3,3,1,1,1,0
BS6_Autumn_2021,BS6,66,87,19,23,1,5,5,1,1,1,1
BS6_SpringE_2020,BS6,65,75,19,19,0,0,0,0,0,0,0
BS6_SpringL_2019,BS6,43,57,14,15,1,1,1,1,1,0,0
BS6_SpringL_2020,BS6,45,50,16,17,0,0,0,0,0,0,0
BS6_SpringL_2021,BS6,45,102,16,25,0,0,0,0,0,0,0
BS6_Summer_2019,BS6,33,55,12,14,1,3,5,1,1,1,1
BS6_Summer_2020,BS6,65,67,17,18,0,0,0,0,0,0,0
BS6_Summer_2021,BS6,46,74,18,21,0,0,0,0,0,0,0
BS6_Winter_2019,BS6,59,127,14,16,1,2,3,1,1,1,0
BS6_Winter_2020,BS6,49,53,17,18,0,0,0,0,0,0,0
BS7_Autumn_2021,BS7,88,89,16,17,1,4,4,1,1,1,1
BS7_SpringE_2020,BS7,41,49,14,14,1,5,6,1,1,1,1
BS7_SpringL_2019,BS7,53,76,22,23,1,1,3,1,1,0,0
BS7_SpringL_2020,BS7,37,46,14,14,1,5,6,1,1,1,1
BS7_SpringL_2021,BS7,45,77,18,25,0,0,0,0,0,0,0
BS7_Summer_2019,BS7,23,39,9,14,1,5,5,1,1,1,1
BS7_Summer_2020,BS7,55,61,21,22,1,4,4,1,1,1,1
BS7_Summer_2021,BS7,41,61,14,17,0,0,0,0,0,0,0
BS7_Winter_2019,BS7,38,96,15,21,1,2,4,1,1,1,1
BS7_Winter_2020,BS7,35,41,14,14,1,5,6,1,1,1,1
BS8_Autumn_2021,BS8,50,69,12,13,1,8,8,1,1,1,1
BS8_SpringE_2020,BS8,44,44,14,14,0,0,0,0,0,0,0
BS8_SpringL_2019,BS8,85,119,22,26,0,0,0,0,0,0,0
BS8_SpringL_2020,BS8,61,75,19,19,1,8,16,1,1,1,1
BS8_SpringL_2021,BS8,65,104,20,23,1,11,21,1,1,1,1
BS8_Summer_2019,BS8,15,28,9,10,1,4,6,1,1,1,1
BS8_Summer_2020,BS8,43,57,15,21,1,9,9,1,1,1,1
BS8_Summer_2021,BS8,44,59,13,17,1,4,4,1,1,1,1
BS8_Winter_2019,BS8,47,109,20,24,1,4,17,1,1,1,1
BS8_Winter_2020,BS8,54,54,18,18,0,0,0,0,0,0,0
BS9_Autumn_2021,BS9,99,119,19,22,1,4,4,1,1,1,1
BS9_SpringE_2020,BS9,51,78,17,22,0,0,0,0,0,0,0
BS9_SpringL_2019,BS9,67,83,19,19,1,3,5,1,1,1,1
BS9_SpringL_2020,BS9,54,75,18,24,0,0,0,0,0,0,0
BS9_SpringL_2021,BS9,45,72,22,29,0,0,0,0,0,0,0
BS9_Summer_2019,BS9,22,49,11,19,1,0,5,0,1,0,1
BS9_Summer_2020,BS9,67,94,23,32,1,0,3,0,1,0,0
BS9_Summer_2021,BS9,30,38,12,17,0,0,0,0,0,0,0
BS9_Winter_2019,BS9,77,175,23,27,1,6,18,1,1,1,1
BS9_Winter_2020,BS9,44,69,16,23,0,0,0,0,0,0,0
G1_Autumn_2021,G1,47,49,13,15,0,0,0,0,0,0,0
G1_SpringE_2020,G1,49,58,15,17,0,0,0,0,0,0,0
G1_SpringL_2019,G1,70,86,19,23,0,0,0,0,0,0,0
G1_SpringL_2020,G1,38,45,8,13,0,0,0,0,0,0,0
G1_SpringL_2021,G1,29,33,21,22,0,0,0,0,0,0,0
G1_Summer_2019,G1,51,88,17,24,1,0,1,0,1,0,0
G1_Summer_2020,G1,30,39,12,14,1,3,3,1,1,1,0
G1_Summer_2021,G1,33,44,16,20,0,0,0,0,0,0,0
G1_Winter_2019,G1,44,99,14,17,1,3,5,1,1,1,1
G1_Winter_2020,G1,73,119,19,25,0,0,0,0,0,0,0
G2_Autumn_2021,G2,36,39,9,11,0,0,0,0,0,0,0
G2_SpringE_2020,G2,46,53,16,18,0,0,0,0,0,0,0
G2_SpringL_2019,G2,58,81,20,24,1,0,2,0,1,0,0
G2_SpringL_2020,G2,23,25,10,10,0,0,0,0,0,0,0
G2_SpringL_2021,G2,21,26,10,12,0,0,0,0,0,0,0
G2_Summer_2019,G2,12,39,5,11,0,0,0,0,0,0,0
G2_Summer_2020,G2,36,40,9,10,0,0,0,0,0,0,0
G2_Summer_2021,G2,23,28,14,15,0,0,0,0,0,0,0
G2_Winter_2019,G2,32,80,15,23,0,0,0,0,0,0,0
G2_Winter_2020,G2,15,45,7,11,0,0,0,0,0,0,0
G3_Autumn_2021,G3,49,83,15,16,0,0,0,0,0,0,0
G3_SpringE_2020,G3,40,57,16,18,0,0,0,0,0,0,0
G3_SpringL_2019,G3,55,83,20,22,0,0,0,0,0,0,0
G3_SpringL_2020,G3,25,35,7,11,0,0,0,0,0,0,0
G3_SpringL_2021,G3,36,43,20,23,0,0,0,0,0,0,0
G3_Summer_2019,G3,18,65,7,23,1,0,1,0,1,0,0
G3_Summer_2020,G3,25,29,7,9,0,0,0,0,0,0,0
G3_Summer_2021,G3,15,29,9,12,0,0,0,0,0,0,0
G3_Winter_2019,G3,28,67,16,19,1,1,4,1,1,0,1
G3_Winter_2020,G3,84,98,18,19,1,4,4,1,1,1,1
G4_Autumn_2021,G4,37,50,12,16,0,0,0,0,0,0,0
G4_SpringE_2020,G4,46,56,20,20,0,0,0,0,0,0,0
G4_SpringL_2019,G4,62,110,21,25,0,0,0,0,0,0,0
G4_SpringL_2020,G4,10,23,6,11,0,0,0,0,0,0,0
G4_SpringL_2021,G4,27,33,16,18,0,0,0,0,0,0,0
G4_Summer_2019,G4,38,100,11,24,0,0,0,0,0,0,0
G4_Summer_2020,G4,17,18,5,6,0,0,0,0,0,0,0
G4_Summer_2021,G4,18,34,9,17,0,0,0,0,0,0,0
G4_Winter_2019,G4,24,68,13,20,0,0,0,0,0,0,0
G4_Winter_2020,G4,39,83,11,22,1,0,2,0,1,0,0
GP1_Autumn_2021,GP1,93,148,25,33,1,2,2,1,1,1,0
GP1_SpringE_2020,GP1,43,81,16,21,0,0,0,0,0,0,0
GP1_SpringL_2019,GP1,21,31,8,11,1,0,1,0,1,0,0
GP1_SpringL_2020,GP1,36,73,14,22,0,0,0,0,0,0,0
GP1_SpringL_2021,GP1,42,239,21,26,0,0,0,0,0,0,0
GP1_Summer_2019,GP1,47,70,13,21,0,0,0,0,0,0,0
